Name,Type,TermStart,TermEnd,State,Constituency,Party,Gender,Education,EducationDetails,Age,Debates,PrivateMemberBills,Questions,Attendance,Notes,NationalDebatesAverage,NationalPrivateMemberBillsAverage,NationalQuestionsAverage,NationalAttendanceAverage,StateDebatesAverage,StatePrivateMemberBillsAverage,StateQuestionsAverage,StateAttendanceAverage
Maganti Venkateswara Rao (Babu),Elected,18-May-14,In office,Andhra Pradesh,Eluru,Telugu Desam Party,Male,Under Matric,Information not available,54,0,0,0,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,15,86%
Mahboob Ali Kaiser,Elected,18-May-14,In office,Bihar,Khagaria,Lok Jan Shakti Party,Male,Graduate,Information not available,47,0,0,0,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Maheish Girri,Elected,18-May-14,In office,Delhi,East Delhi,Bharatiya Janata Party,Male,Under Matric,Information not available,39,1,0,4,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.7,0,2,93%
Mahendra Nath Pandey,Elected,18-May-14,In office,Uttar Pradesh,Chandauli,Bharatiya Janata Party,Male,Doctorate,Information not available,57,2,0,1,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Mahesh Sharma,Elected,18-May-14,In office,Uttar Pradesh,Gautam Buddha Nagar,Bharatiya Janata Party,Male,Graduate,Information not available,54,1,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Mala Rajya Laxmi Shah,Elected,18-May-14,In office,Uttarakhand,Tehri Garhwal,Bharatiya Janata Party,Female,Inter/ Higher Secondary,"Educated at Convent of Jesus & Mary, Pune and Ratna Rajya Laxmi College, Kathmandu (attended for 2 years)",63,1,0,0,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.2,0.6,2,88%
Malla Reddy,Elected,18-May-14,In office,Telangana,Malkajgiri,Telugu Desam Party,Male,Inter/ Higher Secondary,Information not available,56,0,0,9,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.3,0,14,85%
Mallikarjun Kharge,Elected,18-May-14,In office,Karnataka,Gulbarga,Indian National Congress,Male,Graduate,"B.A., LL.B; Educated at Karnataka University, Karnataka",72,16,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.2,0,32,87%
Malyadri Sriram,Elected,18-May-14,In office,Andhra Pradesh,Bapatla,Telugu Desam Party,Male,Post Graduate,Information not available,60,0,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,15,86%
Mamtaz Sanghamita,Elected,18-May-14,In office,West Bengal,Bardhaman-Durgapur,All India Trinamool Congress,Female,Post Graduate,Information not available,68,2,0,0,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Maneka Gandhi,Elected,18-May-14,In office,Uttar Pradesh,Pilibhit,Bharatiya Janata Party,Female,Inter/ Higher Secondary,"I.S.C.; Educated at Lawrence School, Sanawar, Himachal Pradesh",57,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Manohar Untwal,Elected,18-May-14,In office,Madhya Pradesh,Dewas,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,47,0,0,0,41, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
Manoj Rajoria,Elected,18-May-14,In office,Rajasthan,Karauli-Dholpur,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,43,2,0,19,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,6.5,0.2,16,91%
Manoj Sinha,Elected,18-May-14,In office,Uttar Pradesh,Ghazipur,Bharatiya Janata Party,Male,Graduate,Information not available,55,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Manoj Tiwari,Elected,18-May-14,In office,Delhi,North East Delhi,Bharatiya Janata Party,Male,Post Graduate,Information not available,43,1,0,0,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.7,0,2,93%
Manshankar Ninama,Elected,18-May-14,In office,Rajasthan,Banswara,Bharatiya Janata Party,Male,Under Matric,Information not available,58,0,0,0,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,6.5,0.2,16,91%
Mansukhbhai D. Vasava,Elected,18-May-14,In office,Gujarat,Bharuch,Bharatiya Janata Party,Male,Post Graduate,"B.A., M.S.W.; Educated at South Gujarat University, Surat and Gujarat Vidyapith, Ahmedabad, Gujarat",57,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Mausam Noor,Elected,18-May-14,In office,West Bengal,Maldaha Uttar,Indian National Congress,Female,Graduate,LL.B.; Educated at Calcutta University,34,1,0,27,68, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Md. Salim,Elected,18-May-14,In office,West Bengal,Raiganj,Communist Party of India (Marxist),Male,Post Graduate,Information not available,56,4,0,2,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Meenakashi Lekhi,Elected,18-May-14,In office,Delhi,New Delhi,Bharatiya Janata Party,Female,Graduate,Information not available,46,4,0,0,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.7,0,2,93%
Mehbooba Mufti,Elected,18-May-14,In office,Jammu and Kashmir,Anantnag,Jammu and Kashmir Peoples Democratic Party,Female,Graduate,Information not available,54,4,0,7,50, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3,0,6,59%
Mekapati Rajamohan Reddy,Elected,18-May-14,In office,Andhra Pradesh,Nellore,Yuvajana Sramika Rythu Congress Party,Male,Graduate,"B.E.; Educated at Regional Engineering College, Warangal, Andhra Pradesh",70,4,0,41,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,15,86%
Mriganka Mahato,Elected,18-May-14,In office,West Bengal,Purulia,All India Trinamool Congress,Male,Graduate,Information not available,51,0,0,0,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Mukesh Rajput,Elected,18-May-14,In office,Uttar Pradesh,Farrukhabad,Bharatiya Janata Party,Male,Graduate,Information not available,45,1,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Mulayam Singh Yadav,Elected,18-May-14,In office,Uttar Pradesh,Azamgarh,Samajwadi Party,Male,Post Graduate,"B.A., B.T., M.A. (Political Science); Educated at K.K. College, Etawah, A.K. College, Shikohabad and B.R. College, Agra University, Agra, Uttar Pradesh",74,5,0,0,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Munisamy Thambidurai,Elected,18-May-14,In office,Tamil Nadu,Karur,All India Anna Dravida Munnetra Kazhagam,Male,Doctorate,"M.A., M.Phil., M.Litt., Ph.D.; Educated at Madras Christian College, Madras University, Chennai, Tamil Nadu",67,14,0,13,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
Murali Mohan Maganti,Elected,18-May-14,In office,Andhra Pradesh,Rajahmundry,Telugu Desam Party,Male,Inter/ Higher Secondary,Information not available,73,9,0,11,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,15,86%
Murli Manohar Joshi,Elected,18-May-14,In office,Uttar Pradesh,Kanpur,Bharatiya Janata Party,Male,Doctorate,"M.Sc. (Physics), D. Phil.; Educated at Allahabad University, Allahabad, Uttar Pradesh",80,0,0,0,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Muttamsetti Srinivasa Rao (Avanthi),Elected,18-May-14,In office,Andhra Pradesh,Anakapalli,Telugu Desam Party,Male,Under Matric,Information not available,47,4,0,4,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,15,86%
Muzaffar Hussain Baig,Elected,18-May-14,In office,Jammu and Kashmir,Baramulla,Jammu and Kashmir Peoples Democratic Party,Male,Post Graduate,Information not available,67,0,0,0,9, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3,0,6,59%
N.K.Premachandran,Elected,18-May-14,In office,Kerala,Kollam,Revolutionary Socialist Party,Male,Graduate,Information not available,53,23,0,52,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,9.2,0.1,38,88%
Naba Kumar Sarania (Hira),Elected,18-May-14,In office,Assam,Kokrajhar,Independent,Male,Inter/ Higher Secondary,Information not available,45,2,0,6,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.6,0,10,85%
Nagendra Kumar Pradhan,Elected,18-May-14,In office,Odisha,Sambalpur,Biju Janata Dal,Male,Post Graduate,Information not available,61,3,0,70,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.1,0.3,12,93%
Nagendra Singh,Elected,18-May-14,In office,Madhya Pradesh,Khajuraho,Bharatiya Janata Party,Male,Graduate,Information not available,72,0,0,0,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
Nalin Kumar Kateel,Elected,18-May-14,In office,Karnataka,Dakshina Kannada,Bharatiya Janata Party,Male,Matric,"Educated at St. Philomeaia Higher School, Puttar, T.W. D.K. Distt. Karnataka",47,8,0,86,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.2,0,32,87%
Nanabhau Falgunrao Patole,Elected,18-May-14,In office,Maharashtra,Bhandara-Gondiya,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,51,3,0,13,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Nandkumar Singh Chouhan (Nandu Bhaiya),Elected,18-May-14,In office,Madhya Pradesh,Khandwa,Bharatiya Janata Party,Male,Post Graduate,Information not available,61,1,0,0,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
Naramalli Sivaprasad,Elected,18-May-14,In office,Andhra Pradesh,Chittoor,Telugu Desam Party,Male,Graduate,"M.B.B.S.; Educated at S.V. Medical College, Tirupati, Chittoor (Andhra Pradesh) ",63,0,0,0,73, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,15,86%
Naranbhai Kachhadia,Elected,18-May-14,In office,Gujarat,Amreli,Bharatiya Janata Party,Male,Under Matric,"Educated at Charkhadiya, Govt. of Primary School",59,12,0,62,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,0.1,14,90%
Narendra Keshav Sawaikar,Elected,18-May-14,In office,Goa,South Goa,Bharatiya Janata Party,Male,Graduate,Information not available,47,4,0,4,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4,0,4,95%
Narendra Modi,Elected,18-May-14,In office,Uttar Pradesh,Varanasi,Bharatiya Janata Party,Male,Post Graduate,Information not available,63,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Narendra Singh Tomar,Elected,18-May-14,In office,Madhya Pradesh,Gwalior,Bharatiya Janata Party,Male,Graduate,"Educated at Jiwaji University, Gwalior, Madhya Pradesh",57,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Natubhai Gomanbhai Patel,Elected,18-May-14,In office,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Bharatiya Janata Party,Male,Under Matric,,42,0,0,0,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,0,0,0,82%
Neelam Sonkar,Elected,18-May-14,In office,Uttar Pradesh,Lalganj,Bharatiya Janata Party,Female,Post Graduate,Information not available,38,0,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Neiphiu Rio,Elected,18-May-14,In office,Nagaland,Nagaland,Nagaland Peoples Front,Male,Graduate,Information not available,63,3,0,2,59, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3,0,2,59%
Nepal Singh,Elected,18-May-14,In office,Uttar Pradesh,Rampur,Bharatiya Janata Party,Male,Doctorate,Information not available,74,3,0,1,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Nihalchand,Elected,18-May-14,In office,Rajasthan,Ganganagar,Bharatiya Janata Party,Male,Graduate,Information not available,43,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Ninong Ering,Elected,18-May-14,In office,Arunachal Pradesh,Arunachal East,Indian National Congress,Male,Graduate,"B.A.; Educated at J.N. College, Pasighat, Arunachal Pradesh",55,9,0,4,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,9,0,4,91%
Niranjan Jyoti,Elected,18-May-14,In office,Uttar Pradesh,Fatehpur,Bharatiya Janata Party,Female,Inter/ Higher Secondary,Information not available,47,18,0,1,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Nishikant Dubey,Elected,18-May-14,In office,Jharkhand,Godda,Bharatiya Janata Party,Male,Post Graduate,"B.A. (H), M.B.A.; Educated at Marwari College Bhagalpur (Bihar) and F.M.S. Delhi University (Delhi) ",45,9,4,89,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.3,25,90%
Nitin Jairam Gadkari,Elected,18-May-14,In office,Maharashtra,Nagpur,Bharatiya Janata Party,Male,Graduate,Information not available,56,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Nityanand Rai,Elected,18-May-14,In office,Bihar,Ujiarpur,Bharatiya Janata Party,Male,Graduate,Information not available,48,1,0,7,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Om Birla,Elected,18-May-14,In office,Rajasthan,Kota,Bharatiya Janata Party,Male,Post Graduate,Information not available,51,14,0,68,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,6.5,0.2,16,91%
Om Prakash Yadav,Elected,18-May-14,In office,Bihar,Siwan,Bharatiya Janata Party,Male,Graduate,"B.Sc.; Educated at D.A.V. College, Siwan, Bihar",52,6,3,35,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
P. C. Mohan,Elected,18-May-14,In office,Karnataka,Bangalore Central,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Educated at Vijiya College,51,3,0,25,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.2,0,32,87%
P. K. Biju,Elected,18-May-14,In office,Kerala,Alathur,Communist Party of India (Marxist),Male,Post Graduate,"M.Sc. (Polymer Chemistry); Educated at School of Chemical Sciences, Mahatama Gandhi University, Kottayam, Kerala",40,11,0,69,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,9.2,0.1,38,88%
P. Karunakaran,Elected,18-May-14,In office,Kerala,Kasaragod,Communist Party of India (Marxist),Male,Post Graduate,"M.A.; Educated at M.A. College, Kothamangalam",69,18,0,21,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,9.2,0.1,38,88%
P. Kumar,Elected,18-May-14,In office,Tamil Nadu,Tiruchirappalli,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"B.Sc., B.L., Educated at Govt. Law College, Tiruchirappalli",43,7,0,33,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
P. Nagarajan,Elected,18-May-14,In office,Tamil Nadu,Coimbatore,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,Information not available,52,6,0,14,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
P. Radhakrishnan,Elected,18-May-14,In office,Tamil Nadu,Kanniyakumari,Bharatiya Janata Party,Male,Graduate,Information not available,62,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
P. Venugopal,Elected,18-May-14,In office,Tamil Nadu,Tiruvallur,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"M.B.B.S.; Educated at Stanley Medical College, Chennai, Tamil Nadu",62,7,0,46,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
P.C. Gaddigoudar,Elected,18-May-14,In office,Karnataka,Bagalkot,Bharatiya Janata Party,Male,Graduate,"B.A., LLB; Educated at Basaveshwar Arts College, Bagalkot and Raja Lokhamagouda College, Belgaum",63,2,0,41,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.2,0,32,87%
P.K. Sreemathi Teacher,Elected,18-May-14,In office,Kerala,Kannur,Communist Party of India (Marxist),Female,others,Information not available,64,8,0,10,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,9.2,0.1,38,88%
P.P. Choudhary,Elected,18-May-14,In office,Rajasthan,Pali,Bharatiya Janata Party,Male,Graduate,Information not available,60,30,0,54,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,6.5,0.2,16,91%
P.P. Mohammed Faizal,Elected,18-May-14,In office,Lakshadweep,Lakshadweep,Nationalist Congress Party,Male,Post Graduate,Information not available,38,1,0,52,55, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,1,0,52,55%
P.R. Senthilnathan,Elected,18-May-14,In office,Tamil Nadu,Sivaganga,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,Information not available,46,5,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
P.R. Sundaram,Elected,18-May-14,In office,Tamil Nadu,Namakkal,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,Information not available,62,8,0,19,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
P.V. Midhun Reddy,Elected,18-May-14,In office,Andhra Pradesh,Rajampet,Yuvajana Sramika Rythu Congress Party,Male,Post Graduate,Information not available,36,2,0,0,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,15,86%
Pandula Ravindra Babu,Elected,18-May-14,In office,Andhra Pradesh,Amalapuram,Telugu Desam Party,Male,Graduate,Information not available,58,1,0,1,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,15,86%
Pankaj Chowdhary,Elected,18-May-14,In office,Uttar Pradesh,Maharajganj,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,44,2,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Paresh Rawal,Elected,18-May-14,In office,Gujarat,Ahmedabad East,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,59,0,0,0,73, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,0.1,14,90%
Parvesh Sahib Singh Verma,Elected,18-May-14,In office,Delhi,West Delhi,Bharatiya Janata Party,Male,Post Graduate,Information not available,36,1,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.7,0,2,93%
Pashupati Nath Singh,Elected,18-May-14,In office,Jharkhand,Dhanbad,Bharatiya Janata Party,Male,Graduate,B.Sc.,65,6,0,25,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.3,25,90%
Pinaki Misra,Elected,18-May-14,In office,Odisha,Puri,Biju Janata Dal,Male,Graduate,"B.A. (Hist.) Hons., LL.B.; Educated at St. Xavier`s School, Delhi, St. Stephen`s College and Faculty of Law, Delhi University",54,1,0,0,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.1,0.3,12,93%
Ponguleti Srinivasa Reddy,Elected,18-May-14,In office,Telangana,Khammam,Yuvajana Sramika Rythu Congress Party,Male,Inter/ Higher Secondary,Information not available,48,7,0,35,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.3,0,14,85%
Poonam Mahajan Alias Poonam Vajendla Rao,Elected,18-May-14,In office,Maharashtra,Mumbai-North-Central,Bharatiya Janata Party,Female,others,Information not available,33,2,0,35,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Poonamben Hematbhai Maadam,Elected,18-May-14,In office,Gujarat,Jamnagar,Bharatiya Janata Party,Female,Graduate,Information not available,39,4,0,31,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,0.1,14,90%
Prabhas Kumar Singh,Elected,18-May-14,In office,Odisha,Bargarh,Biju Janata Dal,Male,Doctorate,Information not available,50,3,0,5,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.1,0.3,12,93%
Prabhatsinh Pratapsinh Chauhan,Elected,18-May-14,In office,Gujarat,Panchmahal,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at Shri K.K. High School, Vejalpur, Tel. Kalol, Distt. Panchmahal, Gujarat",73,0,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,0.1,14,90%
Prahlad Singh Patel,Elected,18-May-14,In office,Madhya Pradesh,Damoh,Bharatiya Janata Party,Male,Graduate,Information not available,54,9,0,27,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
Prakash Babanna Hukkeri,Elected,18-May-14,In office,Karnataka,Chikkodi,Indian National Congress,Male,Inter/ Higher Secondary,Information not available,67,0,0,0,18, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.2,0,32,87%
Pralhad Venkatesh Joshi,Elected,18-May-14,In office,Karnataka,Dharwad,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at K.S. Arts College, Hubli",51,7,0,34,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.2,0,32,87%
Prasanna Kumar Patasani,Elected,18-May-14,In office,Odisha,Bhubaneswar,Biju Janata Dal,Male,Doctorate,"M.A., LL.B., MSCI, Ph.D. (Honorary), D. Litt. (Utkal), D.Sc. (Swiss); Educated at Utkal University, Bhubaneswar (Orissa), Madhusudan Law College, Cuttack (Orissa), Maharshi Institute of Creative Intelligence, Rishikesh (Uttar Pradesh), Sheelsburg (Switzer",68,7,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.1,0.3,12,93%
